mapped_pincode,mapped_city_db,mapped_state_db,mapped_city_tat,Latitude,Longitude
207001,Etah,UP,Etah,27.560645,78.658235
638106,Dharapuram,TN,Dharapuram,10.795745,77.715039
389320,Halol,GJ,Halol,22.628353,73.459351
600037,Chennai,TN,Chennai,13.084238,80.171976
191123,Srinagar,JK,Srinagar,34.15727,74.893827
575019,Surathkal,KA,Surathkal,12.964512,74.806354
331026,Malsisar,RJ,Malsisar,28.391205,75.245547
690546,Kollam,KL,Kollam,9.088863,76.486548
521226,Vissannapetaa,AP,Vissannapetaa,16.943485,80.774903
621307,Manapparai,TN,Manapparai,10.670187,78.347231
160005,Chandigarh,CH,Chandigarh,30.739614,76.791367
388275,Anand,GJ,Anand,22.888643,73.223536
177110,Chintpurni,HP,Chintpurni,31.807122,76.105368
835209,Khunti,JH,Khunti,23.128497,85.123878
246737,Chandpur,UP,Chandpur,29.181294,78.356122
311025,Bhilwara,RJ,Bhilwara,25.188379,74.628595
332308,Fatehpur-RJ,RJ,Fatehpur-RJ,28.079951,75.05727
734104,Darjeeling,WB,Darjeeling,27.057087,88.250976
515331,Hindupur,AP,Hindupur,13.803654,77.609051
792129,Deomali,AR,Deomali,27.19762,95.46745
250625,Baraut,UP,Baraut,29.226256,77.329941
679339,Edavanna,KL,Edavanna,11.142342,76.253716
845417,Motihari,BR,Motihari,26.514044,84.789449
762101,Raikia,OR,Raikia,20.055926,84.240074
999987,Rajpura,PB,Rajpura,30.472811,76.58649
321609,Mahwa,RJ,Mahwa,27.155289,76.850711
413704,Rahuri,MH,Rahuri,19.291011,74.730015
480880,Katangi,MP,Katangi,21.811765,79.501727
627701,Kovilpatti,TN,Kovilpatti,9.168743,77.86615
143402,Tarn Taran Sahib,PB,Tarn Taran Sahib,31.450531,74.921688
403206,Panjim,GA,Panjim,15.452234,73.844675
303338,Phulera,RJ,Phulera,26.874484,75.245547
533248,Razole,AP,Razole,16.445505,81.930453
796005,Aizawl,MZ,Aizawl,23.71162,92.719662
322033,Sawai Madhopur,RJ,Sawai Madhopur,26.013226,76.345447
531145,Araku,AP,Araku,18.339473,82.845309
516356,Proddatur,AP,Proddatur,14.730896,78.65788
517152,Pakala,AP,Pakala,13.479408,79.043307
713217,Durgapur,WB,Durgapur,23.572178,87.232685
431200,Jalna,MH,Jalna,19.840929,75.877666
332719,Reengus,RJ,Reengus,27.540616,75.749334
609705,Karaikal,PU,Karaikal,10.918992,79.794159
413605,Naldurg,MH,Naldurg,17.814112,76.278629
582222,Dharwad,KA,Dharwad,15.50559,75.533504
385566,Tharad,GJ,Tharad,24.489286,71.832129
261001,Sitapur,UP,Sitapur,27.566437,80.675399
203398,Anupshahar,UP,Anupshahar,28.468609,78.246024
673122,Kalpetta,KL,Kalpetta,11.624647,76.088105
571109,Gundlupet,KA,Gundlupet,11.936299,76.669956
247341,Gangoh,UP,Gangoh,29.780542,77.263515
492018,Abhanpur,CG,Abhanpur,21.058588,81.751366
306601,Khinwara,RJ,Khinwara,25.491302,73.601198
680668,Kodungallur,KL,Kodungallur,10.261532,76.18074
755019,Jajpur,OR,Jajpur,20.944961,86.129508
583268,Gangavathi,KA,Gangavathi,15.500227,76.563826
533213,Amalapuram,AP,Amalapuram,16.574523,82.054089
184102,Kathua,JK,Kathua,32.387177,75.546105
781304,Nalbari,AS,Nalbari,26.381107,91.350758
535594,Kurupam,AP,Kurupam,18.864085,83.556014
382715,Kadi,GJ,Kadi,23.293507,72.349323
276124,Jiyanpur,UP,Jiyanpur,26.153862,83.361752
635602,Tiruppattur,TN,Tiruppattur,12.500852,78.570177
571605,Krishnarajpet,KA,Krishnarajpet,12.563757,76.425701
176403,Surajpur jhikla,HP,Surajpur jhikla,32.216197,75.674412
475686,Datia,MP,Datia,25.685994,78.37399
572168,Tumkur,KA,Tumkur,13.282091,77.187326
523157,Chirala,AP,Chirala,15.831347,80.367442
